City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lebu,-37.6167,-73.65,60.33,75,0,13.11,CL,1619372622
volksrust,-27.3654,29.8818,52.39,49,0,2.13,ZA,1619372667
mahebourg,-20.4081,57.7,77.0,88,75,12.66,MU,1619372245
najran,17.4924,44.1277,78.8,38,75,11.5,SA,1619372415
ponta delgada,37.7333,-25.6667,62.6,67,40,13.8,PT,1619372667
naryan-mar,67.6713,53.087,39.96,88,100,12.15,RU,1619372668
georgetown,5.4112,100.3354,82.4,89,20,3.44,MY,1619372668
punta arenas,-53.15,-70.9167,59.0,47,75,23.02,CL,1619372335
port hardy,50.6996,-127.4199,48.2,87,90,4.61,CA,1619372400
upernavik,72.7868,-56.1549,35.78,87,22,2.75,GL,1619372396
port alfred,-33.5906,26.891,70.65,71,98,15.39,ZA,1619372633
vardo,70.3705,31.1107,33.8,64,40,16.11,NO,1619372669
husavik,66.0449,-17.3389,39.2,100,90,17.27,IS,1619372669
dwarka,22.2394,68.9678,82.54,78,0,16.62,IN,1619372670
sorland,67.667,12.6934,39.2,70,75,10.36,NO,1619372670
yellowknife,62.456,-114.3525,6.8,56,75,5.75,CA,1619372392
rikitea,-23.1203,-134.9692,77.72,75,85,6.69,PF,1619372388
znamenskoye,57.1281,73.8282,43.03,58,100,9.26,RU,1619372671
qaqortoq,60.7167,-46.0333,51.8,30,75,19.57,GL,1619372671
guanica,17.9716,-66.908,86.0,52,69,8.01,PR,1619372672
gimli,50.6336,-96.9907,33.8,69,98,6.91,CA,1619372672
tuktoyaktuk,69.4541,-133.0374,10.4,85,90,10.36,CA,1619372472
thompson,55.7435,-97.8558,33.8,44,90,10.36,CA,1619372672
chuy,-33.6971,-53.4616,69.78,47,17,11.63,UY,1619372673
mwense,-10.3845,28.698,70.3,67,77,5.03,ZM,1619372673
bhuj,23.2667,69.6667,85.89,41,1,10.04,IN,1619372674
avera,33.194,-82.5271,71.6,56,75,8.05,US,1619372674
juneau,58.3019,-134.4197,48.99,53,40,2.82,US,1619372674
camacha,33.0833,-16.3333,66.2,72,75,20.71,PT,1619372675
sitka,57.0531,-135.33,50.0,53,1,5.75,US,1619372675
vila velha,-20.3297,-40.2925,87.01,66,20,13.8,BR,1619372675
hermanus,-34.4187,19.2345,62.01,84,100,0.87,ZA,1619372407
provideniya,64.3833,-173.3,33.84,92,91,2.06,RU,1619372676
saint-philippe,-21.3585,55.7679,78.8,73,0,23.02,RE,1619372411
jamestown,42.097,-79.2353,50.0,81,90,11.5,US,1619372485
ushuaia,-54.8,-68.3,55.4,50,75,18.41,AR,1619372343
lavrentiya,65.5833,-171.0,22.69,88,98,2.24,RU,1619372520
mazarron,37.5992,-1.3149,68.0,60,0,6.91,ES,1619372677
avarua,-21.2078,-159.775,78.8,83,75,10.36,CK,1619372414
iqaluit,63.7506,-68.5145,33.8,80,75,3.44,CA,1619372677
ostrovnoy,68.0531,39.5131,34.43,98,100,19.62,RU,1619372616
pangnirtung,66.1451,-65.7125,32.0,80,90,4.61,CA,1619372678
pisco,-13.7,-76.2167,69.8,83,20,8.05,PE,1619372583
mikkeli,61.6886,27.2723,35.6,93,90,5.75,FI,1619372678
sur,22.5667,59.5289,86.2,42,0,8.03,OM,1619372678
cape town,-33.9258,18.4232,66.0,88,0,17.27,ZA,1619372529
vaini,-21.2,-175.2,75.2,94,75,6.91,TO,1619372679
longyearbyen,78.2186,15.6401,21.2,63,40,18.41,SJ,1619372450
saint anthony,45.0205,-93.218,45.0,39,90,9.22,US,1619372680
torbay,47.6666,-52.7314,53.01,37,20,24.16,CA,1619372643
east london,-33.0153,27.9116,68.0,83,0,9.22,ZA,1619372631
tautira,-17.7333,-149.15,75.2,83,75,3.44,PF,1619372644
souillac,-20.5167,57.5167,77.0,88,75,12.66,MU,1619372681
quatre cocos,-20.2078,57.7625,78.01,88,75,12.66,MU,1619372552
bud,39.447,-86.1758,55.0,54,1,8.05,US,1619372552
at-bashi,41.1702,75.8106,46.58,45,92,3.56,KG,1619372546
rio gallegos,-51.6226,-69.2181,57.2,54,0,19.57,AR,1619372430
marawi,7.9986,124.2928,78.01,88,79,3.0,PH,1619372538
alakurtti,66.9672,30.3491,34.0,71,100,13.0,RU,1619372682
bethel,41.3712,-73.414,53.6,71,90,6.91,US,1619372682
san patricio,28.017,-97.5169,87.8,42,1,11.5,US,1619372682
uribia,11.7139,-72.266,93.51,40,78,21.03,CO,1619372683
ribeira grande,38.5167,-28.7,64.4,72,20,5.75,PT,1619372389
cervo,43.6702,-7.4101,59.0,84,98,3.31,ES,1619372683
gat,31.61,34.7642,75.99,55,2,2.77,IL,1619372543
busselton,-33.65,115.3333,54.0,95,21,4.41,AU,1619372539
plettenberg bay,-34.0527,23.3716,67.78,67,100,7.02,ZA,1619372636
yar-sale,66.8333,70.8333,32.77,96,100,11.39,RU,1619372684
aasiaat,68.7098,-52.8699,35.89,77,82,6.26,GL,1619372684
muzhi,65.3667,64.6667,36.0,96,100,8.86,RU,1619372684
fortuna,40.5982,-124.1573,50.0,93,75,11.5,US,1619372685
cidreira,-30.1811,-50.2056,70.75,72,87,15.61,BR,1619372490
caborca,30.5838,-111.101,83.84,8,4,15.37,MX,1619372685
kapaa,22.0752,-159.319,73.4,78,75,11.5,US,1619372380
bambous virieux,-20.3428,57.7575,78.01,88,75,12.66,MU,1619372414
aranos,-24.1333,19.1167,73.81,19,20,10.07,NA,1619372686
nome,64.5011,-165.4064,36.0,80,90,4.79,US,1619372686
atuona,-9.8,-139.0333,79.95,70,61,17.0,PF,1619372468
beloha,-25.1667,45.05,73.58,80,27,7.65,MG,1619372687
awbari,26.5921,12.7805,83.73,19,0,10.38,LY,1619372687
lompoc,34.6391,-120.4579,57.2,58,100,7.34,US,1619372401
samana,19.2056,-69.3369,89.6,62,20,13.8,DO,1619372688
dinkelsbuhl,49.0694,10.3199,55.4,38,0,9.22,DE,1619372688
mafinga,-7.25,35.0667,70.43,77,99,4.85,TZ,1619372688
baraboo,43.4711,-89.7443,48.0,36,1,3.44,US,1619372689
general roca,-39.0333,-67.5833,68.0,45,0,6.91,AR,1619372545
salatrucu,45.3333,24.5167,57.2,47,20,4.61,RO,1619372689
vestmannaeyjar,63.4427,-20.2734,44.6,87,75,13.8,IS,1619372689
port-gentil,-0.7193,8.7815,86.0,70,20,8.05,GA,1619372690
faanui,-16.4833,-151.75,80.64,65,7,3.62,PF,1619372451
puerto ayora,-0.7393,-90.3518,82.4,65,20,18.41,EC,1619372690
garcia,25.8167,-100.5833,84.2,18,1,12.66,MX,1619372691
aguas verdes,-3.4814,-80.245,86.0,66,40,11.5,PE,1619372691
alta floresta,-9.8756,-56.0861,80.6,94,75,3.44,BR,1619372691
la libertad,-2.2333,-80.9,80.6,74,0,4.61,EC,1619372692
bubaque,11.2833,-15.8333,78.94,65,27,18.86,GW,1619372639
port elizabeth,-33.918,25.5701,62.6,77,0,7.0,ZA,1619372622
faya,18.3851,42.4509,62.6,59,40,8.05,SA,1619372693
ilulissat,69.2167,-51.1,51.8,40,20,21.85,GL,1619372693
san jose,37.3394,-121.895,57.99,62,90,4.61,US,1619372464
bol,13.4586,14.7147,83.43,55,22,6.87,TD,1619372693
barrow,71.2906,-156.7887,10.4,92,1,12.66,US,1619372633
rio grande,-32.035,-52.0986,71.6,43,75,17.27,BR,1619372694
marsh harbour,26.5412,-77.0636,81.1,65,3,15.82,BS,1619372694
taoudenni,22.6783,-3.9836,102.97,7,3,11.07,ML,1619372695
arraial do cabo,-22.9661,-42.0278,84.2,65,0,9.22,BR,1619372424
sinnamary,5.3833,-52.95,82.8,74,36,11.18,GF,1619372695
mehamn,71.0357,27.8492,35.6,69,75,11.5,NO,1619372696
nanortalik,60.1432,-45.2371,42.69,73,100,13.15,GL,1619372461
hithadhoo,-0.6,73.0833,83.07,67,49,3.71,MV,1619372475
bonthe,7.5264,-12.505,85.17,64,76,12.44,SL,1619372555
cayenne,4.9333,-52.3333,84.2,74,75,14.97,GF,1619372697
bonnyville,54.2668,-110.735,42.8,26,20,13.8,CA,1619372697
birao,10.2849,22.7882,79.03,64,95,9.04,CF,1619372550
eslamshahr,35.5605,51.2346,80.6,22,75,21.74,IR,1619372697
asyut,27.181,31.1837,91.4,21,0,11.5,EG,1619372698
berlevag,70.8578,29.0864,32.0,59,40,9.22,NO,1619372384
la sarre,48.8002,-79.1996,27.54,80,100,18.14,CA,1619372698
luba,3.4568,8.5547,84.2,79,20,6.91,GQ,1619372698
avila,40.5833,-5.0,48.99,90,99,7.0,ES,1619372699
hilo,19.7297,-155.09,68.0,83,90,3.44,US,1619372185
norilsk,69.3535,88.2027,-1.34,99,94,2.24,RU,1619372699
barcelos,41.5388,-8.6151,69.01,68,20,5.75,PT,1619372699
paamiut,61.994,-49.6678,36.77,92,100,3.56,GL,1619372700
concordia,-31.393,-58.0209,68.0,56,75,13.8,AR,1619372700
barahona,18.2085,-71.1008,84.2,74,40,18.41,DO,1619372535
clyde river,70.4692,-68.5914,23.0,100,40,23.02,CA,1619372701
pombas,17.1503,-25.0201,75.2,53,75,28.77,CV,1619372701
meadow lake,34.8014,-106.5436,78.01,15,20,10.36,US,1619372702
chiredzi,-21.05,31.6667,73.18,26,0,3.6,ZW,1619372702
nova olimpia,-14.7972,-57.2881,75.81,92,97,7.76,BR,1619372702
strezhevoy,60.7333,77.5889,44.6,65,0,6.71,RU,1619372522
teguise,29.0605,-13.564,75.2,50,20,20.71,ES,1619372703
cabo san lucas,22.8909,-109.9124,84.0,34,40,8.05,MX,1619372475
beitbridge,-22.2167,30.0,76.8,19,0,7.29,ZW,1619372703
monastyrshchina,54.3496,31.838,33.94,73,63,7.23,RU,1619372704
mataura,-46.1927,168.8643,42.01,84,38,5.99,NZ,1619372547
puerto carreno,6.189,-67.4859,99.14,32,65,1.66,CO,1619372705
tunceli,39.1083,39.5471,68.0,40,75,3.44,TR,1619372705
tasiilaq,65.6145,-37.6368,39.2,65,75,23.02,GL,1619372470
mar del plata,-38.0023,-57.5575,64.4,68,75,16.11,AR,1619372425
kuryk,43.2,51.65,58.86,67,31,4.36,KZ,1619372706
flin flon,54.7682,-101.865,41.0,42,90,10.36,CA,1619372608
qaanaaq,77.484,-69.3632,31.57,74,87,2.89,GL,1619372468
drumnadrochit,57.3344,-4.4799,54.0,58,20,6.91,GB,1619372706
ponta do sol,32.6667,-17.1,68.0,64,40,10.36,PT,1619372643
alofi,-19.0595,-169.9187,69.8,94,86,1.14,NU,1619372707
xuddur,4.1213,43.8894,82.27,52,75,8.41,SO,1619372707
goderich,43.7501,-81.7165,37.4,70,100,19.57,CA,1619372707
itacoatiara,-3.1431,-58.4442,86.04,69,89,3.56,BR,1619372708
saldanha,-33.0117,17.9442,60.8,88,100,4.61,ZA,1619372708
puerto ayacucho,5.6639,-67.6236,90.84,52,92,5.53,VE,1619372708
kahului,20.8947,-156.47,73.4,73,20,11.5,US,1619372709
moose factory,51.2585,-80.6094,24.8,68,75,10.36,CA,1619372635
ushtobe,45.2514,77.9838,56.82,41,100,6.06,KZ,1619372709
aqtobe,50.2797,57.2072,46.4,87,90,8.95,KZ,1619372668
shambu,9.5667,37.1,55.22,82,100,1.3,ET,1619372710
peterhead,57.5058,-1.7981,51.01,49,0,14.97,GB,1619372710
axim,4.8699,-2.2405,81.28,80,100,6.42,GH,1619372710
adrar,20.5022,-10.0711,96.67,11,5,9.57,MR,1619372711
narsaq,60.9167,-46.05,51.8,30,75,19.57,GL,1619372711
buraydah,26.326,43.975,91.4,21,75,11.5,SA,1619372644
atar,20.5169,-13.0499,94.68,11,0,14.61,MR,1619372692
